"STATION","NAME","DATE","TMAX","TMIN"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-07","87","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-08","78","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-09","83","32"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-10","85","34"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-11","86","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-12","86","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-13","94","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-14","92","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-15","95","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-16","95","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-17","55","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-18","90","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-19","79","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-20","76","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-21","76","35"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-22","81","32"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-23","81","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-24","68","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-25","79","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-26","81","30"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-27","87","30"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-28","90","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-29","93","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-30","99","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-05-31","100","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-01","101","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-02","94","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-03","95","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-04","95","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-05","84","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-06","81","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-07","70","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-08","64","37"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-09","86","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-10","87","38"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-11","89","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-12","83","39"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-13","65","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-14","75","36"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-15","60","33"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-16","85","32"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-17","78","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-18","81","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-19","83","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-20","82","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-21","81","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-22","79","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-23","79","45"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-24","79","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-25","83","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-26","81","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-27","78","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-28","79","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-29","78","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-06-30","79","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-01","84","41"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-02","86","40"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-03","83","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-04","85","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-05","87","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-06","85","47"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-07","83","44"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-08","83","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-09","81","43"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-10","80","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-11","77","50"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-12","79","49"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-13","85","42"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-14","89","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-15","91","53"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-16","87","57"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-17","84","52"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-18","82","54"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-19","83","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-20","81","46"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-21","79","48"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-22","58","51"
"USR0000ACAN","BRIGHT ANGEL ARIZONA, AZ US","1997-07-23","74","47"
