latitude,longitude,elevation,miles
36.1563,-112.0535,3692.91,8.72355
36.1565,-112.0536,3703.08,8.73843
36.1567,-112.0536,3715.55,8.75222
36.1569,-112.0535,3728.02,8.7671
36.1571,-112.0532,3757.55,8.78881
36.1573,-112.0531,3768.04,8.80369
36.1575,-112.0531,3777.56,8.81748
36.1577,-112.0528,3799.21,8.8392
36.1579,-112.0527,3812.34,8.85408
36.1581,-112.0525,3812.34,8.87183
36.1583,-112.0522,3806.1,8.89355
36.1585,-112.052,3793.96,8.9113
36.1587,-112.0522,3755.25,8.92906
36.1589,-112.0522,3731.63,8.94285
36.1591,-112.0521,3725.07,8.95773
36.1593,-112.0518,3720.47,8.97944
36.1595,-112.0517,3721.46,8.99432
36.1597,-112.0516,3727.03,9.0092
36.1599,-112.0513,3733.6,9.03091
36.1601,-112.0506,3749.67,9.07241
36.1603,-112.0504,3761.15,9.09016
36.1605,-112.05,3766.4,9.11644
36.1607,-112.0496,3775.92,9.14271
36.1609,-112.0492,3787.4,9.16899
36.1611,-112.0491,3792.65,9.18387
36.1613,-112.0489,3792.65,9.20162
36.1615,-112.0488,3792.98,9.2165
36.1617,-112.0486,3799.54,9.23425
36.1619,-112.0484,3801.51,9.25201
36.1621,-112.0482,3805.77,9.26976
36.1623,-112.048,3818.9,9.28752
36.1625,-112.0478,3821.19,9.30527
36.1627,-112.0476,3820.54,9.32302
36.1629,-112.0475,3828.08,9.3379
36.1631,-112.0473,3836.94,9.35566
36.1633,-112.0471,3840.88,9.37341
36.1635,-112.0468,3843.18,9.39512
36.1637,-112.0466,3851.71,9.41288
36.1639,-112.0466,3854.0,9.42667
36.1641,-112.0463,3866.8,9.44838
36.1643,-112.0461,3868.11,9.46613
36.1645,-112.046,3874.67,9.48101
36.1647,-112.0459,3880.25,9.49589
36.1649,-112.0459,3887.14,9.50968
36.1651,-112.0459,3900.92,9.52347
36.1653,-112.0458,3906.17,9.53835
36.1655,-112.0457,3909.45,9.55323
36.1657,-112.0456,3918.64,9.56811
36.1659,-112.0455,3923.88,9.58299
36.1661,-112.0455,3938.32,9.59678
36.1663,-112.0455,3946.85,9.61057
36.1665,-112.0455,3965.55,9.62436
36.1667,-112.0452,3987.53,9.64608
36.1669,-112.0452,3995.73,9.65987
36.1671,-112.0451,3998.69,9.67475
36.1673,-112.0451,3993.77,9.68854
36.1675,-112.0451,3989.5,9.70233
36.1677,-112.0451,3985.89,9.71612
36.1679,-112.045,3982.94,9.731
36.1681,-112.044,4005.25,9.78858
36.1683,-112.0437,4007.55,9.81029
36.1685,-112.0435,4001.97,9.82804
36.1687,-112.0431,3992.78,9.85432
36.1689,-112.0428,3989.5,9.87603
36.1691,-112.0424,3999.34,9.9023
36.1693,-112.0421,4015.75,9.92401
36.1695,-112.0418,4014.44,9.94573
36.1697,-112.0416,4022.31,9.96348
36.1699,-112.0412,4028.22,9.98975
36.1701,-112.0408,4039.37,10.01602
36.1703,-112.0405,4053.48,10.03773
36.1705,-112.0402,4065.29,10.05945
36.1707,-112.04,4069.88,10.0772
36.1709,-112.0397,4083.33,10.09891
36.1711,-112.0394,4083.01,10.12062
36.1713,-112.0393,4089.9,10.1355
36.1715,-112.0391,4098.75,10.15326
36.1717,-112.039,4104.99,10.16814
36.1719,-112.0389,4110.89,10.18302
36.1721,-112.0389,4109.25,10.19681
36.1723,-112.0388,4111.55,10.21169
36.1725,-112.0388,4114.17,10.22548
36.1727,-112.0387,4116.14,10.24036
36.1729,-112.0386,4120.73,10.25524
36.1731,-112.0384,4126.97,10.27299
36.1733,-112.0382,4132.87,10.29074
36.1735,-112.0382,4131.56,10.30453
36.1737,-112.0382,4134.19,10.31832
36.1739,-112.0382,4136.81,10.33211
36.1741,-112.0382,4144.69,10.3459
36.1743,-112.0382,4146.98,10.35969
36.1745,-112.0379,4156.5,10.3814
36.1747,-112.0379,4165.03,10.39519
36.1749,-112.0378,4169.29,10.41007
36.1751,-112.0378,4182.41,10.42386
36.1753,-112.0377,4195.54,10.43874
36.1755,-112.0375,4210.96,10.45649
36.1757,-112.0373,4212.93,10.47425
36.1759,-112.0372,4216.21,10.48913
36.1761,-112.0372,4219.16,10.50292
36.1763,-112.0371,4234.25,10.5178
36.1765,-112.0371,4237.2,10.53159
36.1767,-112.0369,4244.75,10.54934
36.1769,-112.0367,4265.09,10.56709
36.1771,-112.0366,4255.25,10.58197
36.1773,-112.0364,4265.09,10.59972
36.1775,-112.0364,4265.09,10.61351
36.1777,-112.0363,4261.81,10.62839
36.1779,-112.0362,4264.44,10.64327
36.1781,-112.036,4271.33,10.66102
36.1783,-112.0353,4284.78,10.70251
36.1785,-112.0349,4289.7,10.72878
36.1787,-112.0346,4300.2,10.75049
36.1789,-112.0343,4307.09,10.7722
36.1791,-112.0342,4309.38,10.78708
36.1793,-112.0341,4319.23,10.80196
36.1795,-112.034,4322.18,10.81684
36.1797,-112.0339,4324.15,10.83172
36.1799,-112.0339,4326.77,10.84551
36.1801,-112.034,4335.63,10.86039
36.1803,-112.034,4349.08,10.87418
36.1805,-112.034,4356.96,10.88797
36.1807,-112.034,4359.58,10.90176
